ShortCode,CatCode,CatValue
SEX,1,Female
SEX,2,Male
ARM,1,Placebo
ARM,2,Research
RACEN,1,WHITE
RACEN,2,BLACK OR AFRICAN AMERICAN
RACEN,3,AMERICAN INDIAN OR ALASKA NATIVE
AVISIT,0,Baseline
AVISIT,1,Week 4
AVISIT,2,Week 8
AVISIT,3,Week 16
AVISIT,4,End of Treatment
PERF,0,No
PERF,1,Yes
AVISIT1,0,Baseline
AVISIT1,1,Week 4
AVISIT1,2,Week 8
AVISIT1,3,Week 16
AVISIT1,4,End of Treatment
PERF1,0,No
PERF1,1,Yes
AVISIT2,0,Baseline
AVISIT2,1,Week 4
AVISIT2,2,Week 8
AVISIT2,3,Week 16
AVISIT2,4,End of Treatment
PERF2,0,No
PERF2,1,Yes
AESOC,1,Gastrointestinal disorders
AESOC,2,Nervous system disorders
AESOC,3,Skin and subcutaneous tissue disorders
AESOC,4,General disorders and administration site conditions
AESOC,5,Infections and infestations
AETOXGR,1,Grade 1
AETOXGR,2,Grade 2
AETOXGR,3,Grade 3
AETOXGR,4,Grade 4
ECGINT,1,Normal
ECGINT,2,Abnormal - not clinically significant
ECGINT,3,Abnormal - clinically significant
ECGINT1,1,Normal
ECGINT1,2,Abnormal - not clinically significant
ECGINT1,3,Abnormal - clinically significant
ECGINT2,1,Normal
ECGINT2,2,Abnormal - not clinically significant
ECGINT2,3,Abnormal - clinically significant
ECOG,0,Fully active
ECOG,1,Restricted in strenuous activity
ECOG,2,Ambulatory and self-care
ECOG,3,Limited self-care
ECOG,4,Completely disabled
ECOG1,0,Fully active
ECOG1,1,Restricted in strenuous activity
ECOG1,2,Ambulatory and self-care
ECOG1,3,Limited self-care
ECOG1,4,Completely disabled
ECOG2,0,Fully active
ECOG2,1,Restricted in strenuous activity
ECOG2,2,Ambulatory and self-care
ECOG2,3,Limited self-care
ECOG2,4,Completely disabled
